person,rel,behavior
Adalberto,has,Aggressive
Adalberto,has,Athletic
Adalberto,has,Bossy
Adalberto,has,Bright
Adalberto,has,Clumsy
Adalberto,has,Conceited
Adalberto,has,Confident
Adalberto,has,Considerate
Adalberto,has,Friendly
Adalberto,has,Neat
Adalberto,has,Opinionated
Adalberto,has,Patient
Adalberto,has,Pleasant
Adalberto,has,Realistic
Adalberto,has,Silly
Adalberto,has,Stubborn
Adalberto,has,Willing
Adalberto,wants,Bossy
Adalberto,wants,Busy
Adalberto,wants,Cautious
Adalberto,wants,Eager
Adalberto,wants,Giving
Adalberto,wants,Humble
Adalberto,wants,Imaginative
Adalberto,wants,Joyful
Adalberto,wants,Messy
Adalberto,wants,Patriotic
Adalberto,wants,Popular
Adalberto,wants,Relaxed
Adalberto,wants,Religious
Adalberto,wants,Successful
Adalberto,wants,Understanding
Adelaida,has,Curious
Adelaida,has,Friendly
Adelaida,has,Independent
Adelaida,has,Opinionated
Adelaida,has,Radical
Adelaida,has,Reliable
Adelaida,has,Religious
Adelaida,has,Responsible
Adelaida,has,Smart
Adelaida,has,Tolerant
Adelaida,has,Vain
Adelaida,has,Witty
Adelaida,wants,Ambitious
Adelaida,wants,Arrogant
Adelaida,wants,Athletic
Adelaida,wants,Bright
Adelaida,wants,Clever
Adelaida,wants,Clumsy
Adelaida,wants,Confident
Adelaida,wants,Creative
Adelaida,wants,Disgruntled
Adelaida,wants,Excited
Adelaida,wants,Expert
Adelaida,wants,Happy
Adelaida,wants,Hard-working
Adelaida,wants,Honest
Adelaida,wants,Shy
Adelaida,wants,Tantalizing
Adelaida,wants,Zany
Adolfo,has,Accepting
Adolfo,has,Athletic
Adolfo,has,Creative
Adolfo,has,Energetic
Adolfo,has,Expert
Adolfo,has,Humble
Adolfo,has,Keen
Adolfo,has,Likeable
Adolfo,has,Loving
Adolfo,has,Personable
Adolfo,has,Pleasant
Adolfo,has,Relaxed
Adolfo,has,Vain
Adolfo,has,Willing
Adolfo,has,Witty
Adolfo,wants,Ambitious
Adolfo,wants,Brave
Adolfo,wants,Busy
Adolfo,wants,Dainty
Adolfo,wants,Daring
Adolfo,wants,Defiant
Adolfo,wants,Helpful
Adolfo,wants,Humble
Adolfo,wants,Impulsive
Adolfo,wants,Independent
Adolfo,wants,Light-hearted
Adolfo,wants,Rich
Adolfo,wants,Shy
Adolfo,wants,Studious
Adolfo,wants,Successful
Adolfo,wants,Tall
Adolfo,wants,Timid
Adolph,has,Arrogant
Adolph,has,Bold
Adolph,has,Bright
Adolph,has,Cheerful
Adolph,has,Defiant
Adolph,has,Disagreeable
Adolph,has,Friendly
Adolph,has,Gracious
Adolph,has,Hard-working
Adolph,has,Messy
Adolph,has,Opinionated
Adolph,has,Reliable
Adolph,has,Sarcastic
Adolph,has,Short
Adolph,has,Smart
Adolph,has,Vain
Adolph,has,Warm
Adolph,wants,Aggressive
Adolph,wants,Awkward
Adolph,wants,Brave
Adolph,wants,Caring
Adolph,wants,Dainty
Adolph,wants,Defiant
Adolph,wants,Funny
Adolph,wants,Honest
Adolph,wants,Humorous
Adolph,wants,Leader
Adolph,wants,Loving
Adolph,wants,Quiet
Adolph,wants,Rich
Adolph,wants,Ugly
Adolph,wants,Unique
Adrian,has,Devout
Adrian,has,Friendly
Adrian,has,Light
Adrian,has,Messy
Adrian,has,Neat
Adrian,has,Organized
Adrian,has,Passive
Adrian,has,Proper
Adrian,has,Tantalizing
Adrian,has,Trusting
Adrian,wants,Accepting
Adrian,wants,Awkward
Adrian,wants,Demanding
Adrian,wants,Determined
Adrian,wants,Gracious
Adrian,wants,Light
Adrian,wants,Patient
Adrian,wants,Poor
Adrian,wants,Proper
